"Time","Area","Tabulated variable","Industry groups of enterprises","/Legal organization","Companies","Corporations other than companies"
"2021","Japan","Number of enterprises, etc.[number of enterprises, etc.]","All industries (excluding S_Government, except elsewhere classified)","","1,691,566","273,654"
"2021","Japan","Number of enterprises, etc.[number of enterprises, etc.]","Agriculture and Forestry","","21,307","9,710"
"2021","Japan","Number of enterprises, etc.[number of enterprises, etc.]","Fisheries","","2,660","502"
"2021","Japan","Number of enterprises, etc.[number of enterprises, etc.]","Mining and Quarrying of Stone and Gravel","","1,173","79"
"2021","Japan","Number of enterprises, etc.[number of enterprises, etc.]","Construction","","301,814","874"
"2021","Japan","Number of enterprises, etc.[number of enterprises, etc.]","Manufacturing","","232,207","2,177"
"2021","Japan","Number of enterprises, etc.[number of enterprises, etc.]","Electricity, Gas, Heat Supply and Water","","4,989","171"
"2021","Japan","Number of enterprises, etc.[number of enterprises, etc.]","Information and Communications","","49,867","820"
"2021","Japan","Number of enterprises, etc.[number of enterprises, etc.]","Transport and Postal Activities","","53,446","1,644"
"2021","Japan","Number of enterprises, etc.[number of enterprises, etc.]","Wholesale and Retail Trade","","391,027","8,001"
"2021","Japan","Number of enterprises, etc.[number of enterprises, etc.]","Finance and Insurance","","23,848","1,971"
"2021","Japan","Number of enterprises, etc.[number of enterprises, etc.]","Real Estate and Goods Rental and Leasing","","209,802","3,550"
"2021","Japan","Number of enterprises, etc.[number of enterprises, etc.]","Scientific Research, Professional and Technical Services","","101,243","10,542"
"2021","Japan","Number of enterprises, etc.[number of enterprises, etc.]","Accommodations, Eating and Drinking Services","","83,838","1,417"
"2021","Japan","Number of enterprises, etc.[number of enterprises, etc.]","Living-Related and Personal Services and Amusement Services","","58,672","3,530"
"2021","Japan","Number of enterprises, etc.[number of enterprises, etc.]","Education, Learning Support","","17,027","14,153"
"2021","Japan","Number of enterprises, etc.[number of enterprises, etc.]","Medical, Health Care and Welfare","","47,824","89,327"
"2021","Japan","Number of enterprises, etc.[number of enterprises, etc.]","Compound Services","","63","2,137"
"2021","Japan","Number of enterprises, etc.[number of enterprises, etc.]","Services, n.e.c.","","90,756","123,046"
